metric,Uniform,Demand-driven,GNN-A2C_mean,GNN-A2C_sample_std,GNN-A2C_sample_size
Release-horizon service rate (%),70.65793576551293,80.38665419395073,85.08471052905104,0.7945749861185418,3
Mean waiting time (min),923.5042719052072,610.6464608668538,506.99819145618966,12.175776140199789,3
P95 waiting time (min),2715.595,1469.5,1265.7094444444444,37.481729413339714,3
Total waiting cost,29376.149999999998,19342.8,16018.799999999997,390.47714081620705,3
Total rebalancing cost,1887.1273525634745,1767.3288354318802,1901.2930115714273,17.49437738280653,3
Simulation termination step,323.0,219.0,216.0,3.0,3
