metric,episodes_801_900_mean,episodes_901_1000_mean,change,change_unit
Cumulative scaled reward,89.255208694587,89.4446361615815,0.21223127452727591,%
Release-horizon service rate,0.8510019748466895,0.8503596299760939,-0.0642344870595557,percentage points
Mean waiting time (min),518.2460710944808,517.7632366697849,-0.09316702076993479,%
