method,run_id,seed,sample_size,cumulative_scaled_reward,service_rate_by_release_horizon,mean_waiting_time,median_waiting_time,p95_waiting_time,total_waiting_cost,total_loaded_travel_cost,total_rebalancing_cost,total_rebalanced_vehicles,backlog_at_release_horizon,matched_by_release_horizon,total_episode_steps,queue_cleared_step,maximum_vehicle_conservation_error,maximum_task_flow_conservation_error
Uniform,uniform_deterministic,,1,-37.81296938842732,0.7065793576551294,923.5042719052072,597.0333333333333,2715.595,29376.149999999998,4588.019586279258,1887.1273525634745,2025,941.0,2266,323,299,1.4210854715202004e-14,0.0
Demand-driven,demand_driven_deterministic,,1,63.71851578288862,0.8038665419395074,610.6464608668538,491.04999999999995,1469.5,19342.8,4588.019586279258,1767.3288354318802,1694,629.0,2578,219,200,2.1316282072803006e-14,0.0
GNN-A2C,episode1000_seed_20260801,20260801,3,100.32824658648347,0.8599937636420331,492.9429996881821,384.5,1222.4299999999998,15568.05,4588.019586279258,1881.1057550723945,1974,449.0,2758,213,187,8.94004870133358e-11,0.0
GNN-A2C,episode1000_seed_20260811,20260811,3,93.35304050292496,0.8468974119114437,513.7287807920175,400.51666666666665,1287.5666666666666,16234.65,4588.019586279258,1912.0263634282462,2037,491.0,2716,216,192,7.756284503557254e-11,0.0
GNN-A2C,episode1000_seed_20260821,20260821,3,93.17533497507101,0.8456501403180543,514.3227938883692,400.4333333333333,1287.1316666666664,16253.699999999999,4588.019586279258,1910.7469162136417,2043,495.0,2712,219,193,8.948575214162702e-11,0.0
