reference_method,target_method,reward_absolute_change,reward_change_over_abs_reference,service_rate_percentage_point_change,service_rate_relative_change,mean_waiting_absolute_change_min,mean_waiting_reduction_ratio,p95_waiting_absolute_change_min,p95_waiting_reduction_ratio,waiting_cost_absolute_change,waiting_cost_reduction_ratio,rebalancing_cost_absolute_change,rebalancing_cost_change_ratio,episode_steps_absolute_change,episode_steps_reduction_ratio
Uniform,GNN-A2C,133.43184340992048,3.528732219870502,14.42677476353811,0.2041776993233306,-416.5060804490176,0.4510061221371044,-1449.8855555555554,0.5339108208534614,-13357.35,0.45470049683161345,14.165659007952854,0.007506466899920781,-107.0,0.33126934984520123
Demand-driven,GNN-A2C,31.900358238604518,0.5006450298889612,4.6980563351003095,0.058443237651926654,-103.64826941066411,0.16973531503568925,-203.79055555555556,0.13868020112661147,-3324.000000000002,0.1718468887648118,133.96417613954713,0.07580036802082192,-3.0,0.0136986301369863
