"phase","seed","episode","cumulative_scaled_reward","matched_by_release_horizon","backlog_at_release_horizon","service_rate_by_release_horizon","mean_waiting_time","median_waiting_time","p90_waiting_time","p95_waiting_time","max_waiting_time","waiting_cost","rebalancing_cost","loaded_cost","total_rebalanced_vehicles","total_episode_steps","queue_clear_step","maximum_conservation_error","parameter_unchanged","optimizer_unchanged"
"formal","20260801","1000","100.32824658648347","2758","449.0","0.8599937636420331","492.9429996881821","384.5","1123.7533333333333","1222.4299999999998","1413.6833333333334","15568.05","1881.1057550723945","4588.019586279258","1974","213","187","8.94004870133358e-11","True","True"
"formal","20260811","1000","93.35304050292496","2716","491.0","0.8468974119114437","513.7287807920175","400.51666666666665","1185.85","1287.5666666666666","1475.9833333333333","16234.65","1912.0263634282462","4588.019586279258","2037","216","192","7.756284503557254e-11","True","True"
"formal","20260821","1000","93.17533497507101","2712","495.0","0.8456501403180543","514.3227938883692","400.4333333333333","1178.6699999999998","1287.1316666666664","1490.9833333333333","16253.699999999999","1910.7469162136417","4588.019586279258","2043","219","193","8.948575214162702e-11","True","True"
