method,sample_size,rebalancing_cost_mean,service_rate_percent_mean,mean_waiting_time_mean,rebalancing_cost_sample_std,service_rate_sample_std,waiting_time_sample_std
Uniform,1,1887.1273525634745,70.65793576551293,923.5042719052072,,,
Demand-driven,1,1767.3288354318802,80.38665419395073,610.6464608668538,,,
GNN-A2C,3,1901.2930115714273,85.08471052905104,506.99819145618966,17.49437738280653,0.7945749861185418,12.175776140199789
