task_id,release_minute,decision_step,origin,destination
179,229.38333333333333,15,Q3,S4
180,230.08333333333334,15,Q2,S7
181,230.11666666666667,15,Q3,S4
182,231.33333333333334,15,Q3,S8
183,231.33333333333334,15,Q3,S7
184,233.18333333333334,15,S5,Q3
185,233.4,15,Q3,S2
186,233.98333333333332,15,Q3,S1
187,233.98333333333332,15,Q3,S1
188,234.8,15,Q3,S4
189,234.8,15,Q3,S1
190,236.38333333333333,15,Q2,S7
191,236.8,15,Q4,S8
192,237.2,15,Q4,S8
193,237.81666666666666,15,Q3,S1
194,237.93333333333334,15,Q3,S12
195,237.93333333333334,15,Q3,S8
196,237.93333333333334,15,Q3,S12
197,238.96666666666667,15,Q4,S8
198,239.91666666666666,15,Q2,S1
199,240.3,16,Q4,S8
200,240.38333333333333,16,Q3,S8
201,240.53333333333333,16,Q3,S12
202,240.53333333333333,16,Q3,S12
203,240.9,16,Q3,S4
204,241.25,16,Q2,S1
205,241.35,16,Q4,S8
206,244.28333333333333,16,S5,Q3
207,244.53333333333333,16,Q2,S2
208,246.08333333333334,16,Q4,S1
209,246.23333333333332,16,Q3,S1
210,246.38333333333333,16,Q3,S12
211,246.75,16,Q2,S2
212,247.53333333333333,16,Q3,S12
213,247.53333333333333,16,Q3,S12
214,248.93333333333334,16,Q4,S8
215,249.08333333333334,16,Q3,S1
216,249.5,16,Q2,S4
217,249.85,16,Q3,S4
218,250.83333333333334,16,Q2,S3
219,251.36666666666667,16,Q3,S3
220,251.36666666666667,16,Q3,S3
221,251.68333333333334,16,S5,Q3
222,251.76666666666668,16,Q4,S4
223,251.85,16,Q2,S1
224,253.48333333333332,16,Q2,S8
225,253.66666666666666,16,Q4,S8
226,253.73333333333332,16,Q3,S4
227,253.73333333333332,16,Q3,S4
228,255.63333333333333,17,Q3,S9
229,256.01666666666665,17,S5,Q3
230,256.21666666666664,17,Q2,S1
231,256.45,17,Q3,S10
232,256.45,17,Q3,S10
233,257.85,17,Q2,S1
234,258.28333333333336,17,Q3,S2
235,258.3666666666667,17,S5,Q3
236,258.81666666666666,17,Q4,S8
237,259.1166666666667,17,Q3,S4
238,259.56666666666666,17,Q3,S9
239,260.03333333333336,17,Q2,S1
240,260.15,17,Q3,S12
241,260.15,17,Q3,S12
242,260.1666666666667,17,Q2,S1
243,260.3333333333333,17,Q2,S2
244,260.5,17,Q4,S8
245,261.0833333333333,17,Q3,S1
246,261.0833333333333,17,Q3,S1
247,261.6666666666667,17,S5,Q3
248,262.0,17,Q2,S5
249,262.18333333333334,17,Q3,S9
250,262.55,17,Q2,S8
251,263.03333333333336,17,Q3,S1
252,263.03333333333336,17,Q3,S1
253,263.3833333333333,17,S4,Q3
254,263.6666666666667,17,S5,Q3
255,263.8666666666667,17,Q3,S12
256,263.8666666666667,17,Q3,S12
257,265.3833333333333,17,Q4,S8
258,266.21666666666664,17,Q3,S4
259,266.21666666666664,17,Q3,S1
260,266.3833333333333,17,Q2,S1
261,266.6,17,Q3,S9
262,266.6,17,Q3,S9
263,267.05,17,S2,Q3
264,267.5,17,Q4,S8
265,268.4166666666667,17,Q3,S9
266,268.53333333333336,17,S5,Q3
267,269.68333333333334,17,Q4,S11
268,269.8,17,Q2,S1
269,270.43333333333334,18,Q2,S1
270,270.65,18,Q3,S9
271,271.5,18,Q4,S11
272,271.75,18,S2,Q3
273,272.3833333333333,18,Q2,S3
274,273.06666666666666,18,S2,Q3
275,273.48333333333335,18,Q4,S8
276,273.68333333333334,18,S5,Q3
277,273.75,18,Q2,S1
278,274.73333333333335,18,Q3,S4
279,274.73333333333335,18,Q3,S4
280,274.8666666666667,18,Q2,S8
281,275.05,18,Q2,S8
282,275.1333333333333,18,Q4,S8
283,275.21666666666664,18,Q2,S1
284,275.28333333333336,18,Q3,S1
285,275.28333333333336,18,Q3,S4
286,275.65,18,Q3,S8
287,275.93333333333334,18,Q4,S1
288,276.6333333333333,18,Q2,S7
289,276.6333333333333,18,Q2,S11
290,277.53333333333336,18,S4,Q3
291,278.1166666666667,18,Q2,S11
292,278.21666666666664,18,Q3,S8
293,278.6333333333333,18,Q3,S8
294,279.48333333333335,18,Q3,S9
295,279.8333333333333,18,S5,Q3
296,280.03333333333336,18,Q2,S7
297,280.03333333333336,18,Q2,S4
298,280.5,18,Q3,S4
299,280.5,18,Q3,S1
300,281.26666666666665,18,Q4,S9
301,281.4,18,Q2,S8
302,282.1166666666667,18,S4,Q3
303,282.55,18,Q2,S1
304,282.6166666666667,18,Q3,S12
305,282.6166666666667,18,Q3,S12
306,283.1,18,Q3,S9
307,283.2,18,Q3,S8
308,283.75,18,S11,Q4
309,284.4166666666667,18,S5,Q3
310,284.51666666666665,18,Q3,S1
311,284.51666666666665,18,Q3,S1
312,285.26666666666665,19,Q3,S5
313,285.5833333333333,19,S11,Q4
314,285.5833333333333,19,S2,Q3
315,285.6,19,Q2,S8
316,287.93333333333334,19,Q3,S8
317,288.0,19,S7,Q4
318,288.06666666666666,19,Q3,S9
319,288.35,19,S4,Q3
320,288.6333333333333,19,Q2,S8
321,288.78333333333336,19,Q3,S12
322,288.78333333333336,19,Q3,S12
323,288.9,19,S2,Q3
324,290.5,19,Q4,S12
325,290.73333333333335,19,S4,Q3
326,290.75,19,Q3,S9
327,291.03333333333336,19,S5,Q3
328,292.4166666666667,19,Q2,S1
329,292.45,19,Q3,S8
330,292.8,19,Q2,S11
331,293.3833333333333,19,S5,Q3
332,293.4,19,Q2,S1
333,293.43333333333334,19,S2,Q3
334,293.45,19,Q3,S3
335,294.68333333333334,19,Q3,S11
336,295.85,19,Q3,S1
337,296.1666666666667,19,Q3,S11
338,296.1666666666667,19,Q3,S11
339,296.7,19,Q2,S7
340,297.55,19,Q2,S2
341,297.55,19,Q2,S10
342,297.95,19,Q3,S11
343,297.95,19,Q3,S12
344,298.55,19,S2,Q3
345,298.93333333333334,19,Q2,S10
346,298.93333333333334,19,Q2,S10
347,299.01666666666665,19,Q3,S2
348,299.6166666666667,19,Q3,S2
349,299.68333333333334,19,S7,Q4
350,299.7,19,S5,Q3
351,300.03333333333336,20,Q2,S11
352,300.1666666666667,20,Q4,S2
353,300.93333333333334,20,Q3,S1
354,301.06666666666666,20,Q3,S9
355,301.06666666666666,20,Q3,S12
356,302.03333333333336,20,S5,Q3
357,302.3,20,Q2,S4
358,302.98333333333335,20,S11,Q3
359,303.1,20,Q2,S11
360,303.25,20,S4,Q3
361,304.23333333333335,20,S11,Q3
362,304.3,20,Q2,S11
363,305.18333333333334,20,Q3,S3
364,305.2,20,S7,Q4
365,305.5,20,Q4,S8
366,305.5,20,Q4,S8
367,306.15,20,Q2,S1
368,307.2,20,Q2,S11
369,307.2,20,S11,Q3
370,307.35,20,S5,Q3
371,307.35,20,Q2,S2
372,308.1166666666667,20,Q3,S2
373,308.21666666666664,20,S11,Q3
374,308.45,20,Q3,S12
375,308.45,20,Q3,S12
376,308.93333333333334,20,Q3,S8
377,309.01666666666665,20,S11,Q4
378,309.46666666666664,20,Q4,S9
379,309.46666666666664,20,Q4,S9
380,309.6166666666667,20,Q2,S1
381,309.81666666666666,20,S5,Q3
382,311.7,20,Q3,S12
383,311.7,20,Q3,S12
384,312.1666666666667,20,S5,Q3
385,312.28333333333336,20,S11,Q4
386,313.01666666666665,20,Q4,S8
387,313.31666666666666,20,Q2,S11
388,314.01666666666665,20,S11,Q3
389,314.73333333333335,20,S11,Q4
390,315.0,21,Q3,S11
391,315.53333333333336,21,S4,Q3
392,316.06666666666666,21,Q2,S11
393,316.06666666666666,21,Q2,S11
394,316.7,21,S11,Q3
395,317.1,21,S11,Q4
396,317.3833333333333,21,Q2,S11
397,317.3833333333333,21,Q2,S1
398,317.55,21,Q3,S12
399,317.55,21,Q3,S12
400,317.8666666666667,21,Q3,S3
401,317.95,21,Q3,S1
402,318.15,21,S11,Q4
403,318.43333333333334,21,Q4,S11
404,318.6,21,S4,Q3
405,318.71666666666664,21,Q2,S9
406,318.71666666666664,21,Q2,S7
407,318.78333333333336,21,S5,Q3
408,320.4,21,S8,Q3
409,320.43333333333334,21,S11,Q3
410,320.6,21,Q2,S1
411,320.6,21,Q2,S1
412,320.6666666666667,21,Q3,S3
413,320.6666666666667,21,Q3,S3
414,321.43333333333334,21,S11,Q3
415,321.6666666666667,21,Q3,S4
416,321.9,21,Q2,S1
417,322.4166666666667,21,S4,Q3
418,322.98333333333335,21,Q3,S2
419,323.1,21,Q3,S9
420,323.1,21,Q3,S9
421,323.1,21,Q2,S2
422,323.1,21,Q2,S11
423,323.6,21,S4,Q3
424,323.96666666666664,21,Q2,S1
425,324.6333333333333,21,S4,Q3
426,325.45,21,Q4,S8
427,325.6666666666667,21,Q2,S1
428,326.31666666666666,21,Q3,S2
429,326.5,21,Q4,S8
430,326.55,21,Q3,S8
431,326.68333333333334,21,Q2,S8
432,326.68333333333334,21,Q2,S10
433,327.1166666666667,21,Q2,S10
434,327.4,21,S8,Q3
435,327.48333333333335,21,Q2,S11
436,327.48333333333335,21,Q2,S9
437,328.56666666666666,21,S4,Q3
438,328.6333333333333,21,Q2,S2
439,329.01666666666665,21,Q2,S10
440,329.65,21,S11,Q4
441,330.8666666666667,22,Q4,S2
442,331.05,22,Q3,S1
443,331.3333333333333,22,S2,Q3
444,331.6333333333333,22,Q2,S1
445,331.6333333333333,22,Q2,S1
446,332.31666666666666,22,Q4,S3
447,332.68333333333334,22,Q2,S2
448,333.03333333333336,22,Q2,S2
449,333.18333333333334,22,S4,Q3
450,333.51666666666665,22,S4,Q3
451,334.6166666666667,22,S11,Q4
452,334.6666666666667,22,Q2,S2
453,334.96666666666664,22,S4,Q3
454,334.96666666666664,22,Q3,S8
455,335.3,22,S2,Q3
456,335.3333333333333,22,Q2,S1
457,335.3333333333333,22,Q2,S1
458,335.51666666666665,22,Q4,S3
459,336.78333333333336,22,S4,Q3
460,336.81666666666666,22,S8,Q3
461,336.85,22,S4,Q3
462,337.03333333333336,22,Q2,S2
463,337.6,22,Q2,S2
464,337.93333333333334,22,S4,Q3
465,338.21666666666664,22,S8,Q3
466,338.8666666666667,22,S4,Q3
467,339.15,22,Q4,S2
468,339.1666666666667,22,S2,Q3
469,339.28333333333336,22,Q2,S10
470,339.28333333333336,22,Q2,S1
471,340.21666666666664,22,S8,Q3
472,341.15,22,Q3,S2
473,341.5,22,S4,Q3
474,342.6166666666667,22,S4,Q3
475,342.9166666666667,22,Q2,S2
476,343.1333333333333,22,S2,Q3
477,343.23333333333335,22,Q4,S2
478,343.4166666666667,22,S8,Q3
479,343.8833333333333,22,Q2,S2
480,344.28333333333336,22,Q2,S2
481,344.5833333333333,22,S8,Q3
482,344.76666666666665,22,S4,Q3
483,345.15,23,Q2,S4
484,345.15,23,Q2,S4
485,345.6666666666667,23,Q3,S11
486,346.9,23,Q2,S2
487,347.0833333333333,23,S8,Q3
488,347.51666666666665,23,S2,Q3
489,347.65,23,S4,Q3
